Date,Close,BI-7Day-RR,Data Inflasi,Kurs,PER,PBV,ROE,OpenV,HighV,LowV,CloseV
2005-09-29,1520.0,,,,,,,12.92,13.23,12.15,12.24
2005-09-30,1550.0,,,,,,,12.42,12.44,11.92,11.92
2005-10-03,1575.0,,,,,,,12.37,12.62,11.98,12.46
2005-10-04,1610.0,,,,,,,12.5,13.21,12.11,13.2
2005-10-05,1600.0,,,,,,,13.15,14.58,12.97,14.55
2005-10-06,1560.0,,,,,,,14.53,15.63,14.04,14.96
2005-10-07,1540.0,,,,,,,14.56,14.82,14.3,14.59
2005-10-10,1545.0,,,,,,,14.93,15.61,14.87,15.55
2005-10-11,1540.0,,,,,,,15.35,15.7,15.06,15.63
2005-10-12,1595.0,,,,,,,15.56,16.27,15.04,16.219999
2005-10-13,1570.0,,,,,,,16.32,17.190001,15.98,16.469999
2005-10-14,1545.0,,,,,,,15.99,16.030001,14.83,14.87
2005-10-17,1545.0,,,,,,,15.3,15.3,14.58,14.67
2005-10-18,1525.0,,,,,,,14.92,15.4,14.79,15.33
2005-10-19,1510.0,,,,,,,15.63,15.86,13.47,13.5
2005-10-20,1510.0,,,,,,,14.18,16.190001,13.98,16.110001
2005-10-21,1495.0,,,,,,,15.53,16.27,15.26,16.129999
2005-10-24,1485.0,,,,,,,16.18,16.440001,14.61,14.74
2005-10-25,1485.0,,,,,,,14.96,15.3,14.2,14.53
2005-10-26,1500.0,,,,,,,14.8,14.88,13.72,14.59
2005-10-27,1480.0,,,,,,,14.73,16.299999,14.57,16.02
2005-10-28,1480.0,,,,,,,15.45,15.61,14.11,14.25
2005-10-31,1445.0,,,,,,,14.04,15.39,13.93,15.32
2005-11-01,1450.0,,18.38,,,,,14.85,15.66,14.65,14.85
2005-11-07,1450.0,,18.125999999999998,,,,,13.11,13.65,12.76,13.1
2005-11-08,1450.0,,18.083666666666666,,,,,13.61,13.61,13.04,13.08
2005-11-09,1450.0,,18.041333333333334,,,,,13.14,13.36,12.42,12.8
2005-11-10,1285.0,,17.999,,,,,12.68,13.17,11.73,11.9
2005-11-11,1175.0,,17.956666666666667,,,,,11.82,11.96,11.63,11.63
2005-11-14,1180.0,,17.829666666666665,,,,,11.99,12.34,11.77,12.18
2005-11-15,1130.0,,17.787333333333333,,,,,12.16,12.69,11.7,12.23
2005-11-16,1150.0,,17.744999999999997,,,,,12.22,12.68,12.17,12.26
2005-11-17,1185.0,,17.702666666666666,,,,,11.92,12.2,11.25,11.25
2005-11-18,1240.0,,17.660333333333334,,,,,11.19,11.67,10.96,11.12
2005-11-21,1300.0,,17.53333333333333,,,,,11.18,11.38,10.71,10.82
